,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,all_year_avail,low_avail,no_reviews
0,40.647490000000005,-73.97237,5.0106352940962555,1,9,2762,0.21,6,True,False,False
1,40.75362,-73.98376999999999,5.420534999272286,1,45,2976,0.38,2,True,False,False
2,40.809020000000004,-73.9419,5.017279836814924,3,0,0,0.0,1,True,False,True
3,40.685140000000004,-73.95976,4.499809670330265,1,270,3021,4.64,1,False,False,False
4,40.79851,-73.94399,4.394449154672439,10,9,2793,0.1,1,False,True,False
5,40.74767,-73.975,5.303304908059076,3,74,3008,0.59,1,False,False,False
6,40.68688,-73.95596,4.110873864173311,45,49,2383,0.4,1,False,True,False
7,40.76489,-73.98493,4.382026634673881,2,430,3010,3.47,1,False,False,False
8,40.80178,-73.96723,4.382026634673881,2,118,2307,0.99,1,False,True,False
9,40.713440000000006,-73.99037,5.017279836814924,1,160,2995,1.33,4,False,False,False
10,40.80316,-73.96545,4.912654885736052,5,53,3008,0.43,1,False,True,False
11,40.76076,-73.98867,4.454347296253507,2,188,3009,1.5,1,False,False,False
12,40.66829,-73.98779,4.499809670330265,4,167,3010,1.34,3,False,False,False
13,40.79826,-73.96113000000001,4.454347296253507,2,113,3021,0.91,1,False,False,False
14,40.7353,-74.00525,4.795790545596741,90,27,2774,0.22,1,False,True,False
15,40.70837,-73.95352,4.948759890378168,2,148,3015,1.2,1,False,False,False
16,40.69169,-73.97185,5.375278407684165,2,198,3014,1.72,1,False,False,False
17,40.74192,-73.99501,4.948759890378168,1,260,3017,2.12,1,False,False,False
18,40.67592,-73.94694,4.605170185988092,3,53,3008,4.44,1,False,False,False
19,40.79685,-73.94872,5.25227342804663,7,0,0,0.0,2,False,False,True
20,40.71842,-73.95718000000001,5.703782474656201,3,9,275,0.07,1,False,True,False
21,40.680690000000006,-73.97706,4.875197323201151,2,130,3017,1.09,6,False,False,False
22,40.67989,-73.97798,4.394449154672439,1,39,2836,0.37,6,True,False,False
23,40.680009999999996,-73.97865,4.709530201312334,2,71,3018,0.61,6,False,False,False
24,40.68371,-73.94028,4.795790545596741,2,88,3005,0.73,2,False,False,False
25,40.65599,-73.97519,4.110873864173311,1,19,3009,1.37,2,False,False,False
26,40.867540000000005,-73.92639,4.394449154672439,4,0,0,0.0,1,False,True,True
27,40.76715,-73.98533,5.017279836814924,10,58,2330,0.49,1,False,False,False
28,40.86482,-73.92106,3.8066624897703196,3,108,3001,1.11,3,False,False,False
29,40.7292,-73.98541999999999,5.198497031265826,14,29,2944,0.24,1,False,False,False
30,40.82245,-73.95104,3.9318256327243257,3,242,2987,2.04,3,True,False,False
31,40.81305,-73.95466,3.970291913552122,2,88,3000,1.42,1,False,False,False
32,40.722190000000005,-73.93762,4.02535169073515,4,197,3001,1.65,3,False,False,False
33,40.8213,-73.95318,3.9318256327243257,3,273,3017,2.37,3,True,False,False
34,40.6831,-73.95473,4.2626798770413155,1,74,2967,0.66,2,False,False,False
35,40.668690000000005,-73.9878,4.499809670330265,4,168,3007,1.41,3,False,False,False
36,40.688759999999995,-73.94312,3.58351893845611,60,0,0,0.0,1,True,False,True
37,40.701859999999996,-73.92745,4.454347296253507,2,231,3008,1.96,2,False,False,False
38,40.63702,-73.96327,5.017279836814924,1,0,0,0.0,1,True,False,True
39,40.714009999999995,-73.98917,3.713572066704308,1,214,3021,1.81,4,False,False,False
40,40.7229,-73.98199,4.23410650459726,2,245,3007,2.08,2,False,False,False
41,40.66278,-73.97966,4.795790545596741,3,15,2982,0.39,1,False,False,False
42,40.69673,-73.97584,4.795790545596741,7,25,2743,0.23,1,False,False,False
43,40.79009,-73.97927,4.912654885736052,4,81,3002,0.69,1,False,False,False
44,40.81175,-73.94478000000001,5.017279836814924,7,97,2999,0.84,1,False,False,False
45,40.659440000000004,-73.96238000000001,5.017279836814924,29,11,2991,0.49,1,False,False,False
46,40.74771,-73.9474,4.875197323201151,3,248,3017,2.25,1,False,False,False
47,40.68111,-73.95591,4.709530201312334,7,61,2980,0.52,1,False,False,False
48,40.68554,-73.9409,4.7535901911063645,3,11,2106,0.1,1,False,True,False
49,40.69142,-73.97376,4.394449154672439,3,135,3003,1.16,2,False,False,False
50,40.68043,-73.93934,4.394449154672439,1,112,3002,1.01,3,False,False,False
51,40.78635,-73.97008000000001,5.0238805208462765,2,73,3023,0.63,1,False,False,False
52,40.7042,-73.9356,5.43372200355424,3,82,2972,0.7,1,False,False,False
53,40.73506,-73.95392,4.976733742420574,2,328,3015,2.82,1,False,False,False
54,40.73961,-73.98074,5.303304908059076,7,19,2919,0.22,1,False,False,False
55,40.70881,-73.9593,5.017279836814924,30,105,3008,0.9,1,False,False,False
56,40.720040000000004,-73.99104,4.709530201312334,5,19,2973,0.17,1,False,False,False
57,40.755309999999994,-73.99293,4.248495242049359,2,289,2995,2.49,2,False,False,False
58,40.72401,-73.93788,3.912023005428146,4,138,2990,1.19,3,False,False,False
59,40.7221,-73.99775,5.198497031265826,30,21,3015,0.3,1,False,False,False
60,40.71185,-73.96204,4.394449154672439,2,42,3016,0.38,1,False,False,False
61,40.74623,-73.9953,5.929589143389895,180,5,2777,0.12,1,False,False,False
62,40.77065,-73.95269,5.5254529391317835,2,66,2924,0.57,2,False,False,False
63,40.67811,-73.96428,5.303304908059076,30,143,2861,1.33,2,False,False,False
64,40.69,-73.96788000000001,4.02535169073515,7,27,2378,0.23,2,False,False,False
65,40.75979,-73.99119,3.970291913552122,30,191,2971,1.65,1,False,False,False
66,40.673429999999996,-73.98338000000001,5.420534999272286,3,4,2372,0.16,1,False,True,False
67,40.726490000000005,-73.97904,4.394449154672439,1,338,3017,4.72,2,False,False,False
68,40.70933,-73.96791999999999,5.62040086571715,1,148,3009,1.4,1,True,False,False
69,40.72298,-73.98474,4.605170185988092,1,106,3007,1.26,2,False,False,False
70,40.80164,-73.93921999999999,5.420534999272286,4,190,3009,1.64,1,False,False,False
71,40.72162,-73.98008,5.442417710521793,9,49,2604,0.43,1,False,False,False
72,40.76342,-73.98865,3.9512437185814275,7,23,2987,0.43,1,False,False,False
73,40.83139,-73.94095,4.189654742026425,2,49,3004,1.6,2,False,False,False
74,40.68346,-73.96374,4.663439094112067,2,105,3012,0.92,1,False,False,False
75,40.72828,-73.98801,5.25227342804663,5,21,2837,0.2,1,False,False,False
76,40.76865,-73.95058,5.303304908059076,1,142,3022,1.5,1,False,False,False
77,40.75038,-73.90334,4.2626798770413155,30,25,2986,0.22,1,False,False,False
78,40.6932,-73.97267,4.564348191467836,3,143,3002,1.28,1,False,False,False
79,40.74138,-74.00197,5.017279836814924,3,167,2983,1.65,1,False,False,False
80,40.71154,-73.96112,4.983606621708336,3,61,2947,0.54,4,False,False,False
81,40.82915,-73.95136,4.709530201312334,31,54,2917,0.49,1,False,False,False
82,40.718509999999995,-73.98892,5.655991810819852,5,70,3016,0.62,1,False,False,False
83,40.65401,-73.96323000000001,4.875197323201151,6,16,3001,0.15,1,False,False,False
84,40.7114,-73.98794000000001,4.553876891600541,30,94,2933,0.84,1,False,False,False
85,40.69723,-73.99268000000001,6.68586094706836,1,25,1956,0.24,1,False,True,False
86,40.71833,-73.95748,4.663439094112067,3,61,2691,0.53,1,False,False,False
87,40.72334,-73.9844,4.110873864173311,3,194,3016,1.73,1,False,False,False
88,40.72912,-73.98057,3.9318256327243257,1,2,1784,0.05,1,False,True,False
89,40.71156,-73.96218,4.454347296253507,3,174,3008,1.54,4,False,False,False
90,40.70032,-73.9383,4.189654742026425,4,24,2981,0.28,1,False,False,False
91,40.68233,-73.97261,4.882801922586371,4,166,3013,3.4,1,False,False,False
92,40.68634,-73.96600000000001,4.59511985013459,7,16,2986,0.2,6,False,False,False
93,40.68035,-73.97162,5.5254529391317835,7,21,2976,0.3,1,False,False,False
94,40.70984,-73.95775,4.61512051684126,5,168,2673,1.57,1,False,True,False
95,40.70093,-73.92609,4.663439094112067,3,118,3004,1.05,2,False,True,False
96,40.79764,-73.96177,4.948759890378168,3,81,3023,0.71,1,False,False,False
97,40.82803,-73.94731,4.499809670330265,1,1,2752,0.11,1,True,False,False
98,40.74008,-74.00271,4.59511985013459,30,30,2956,0.27,2,True,False,False
99,40.684129999999996,-73.92357,4.836281906951478,7,139,2771,1.23,2,False,False,False
100,40.822790000000005,-73.95139,4.110873864173311,3,11,2838,0.87,3,False,False,False
101,40.67967,-74.00154,5.170483995038151,2,233,3010,2.09,3,False,False,False
102,40.83927,-73.94281,4.189654742026425,2,68,584,0.6,1,False,False,False
103,40.730959999999996,-74.00319,6.2166061010848646,4,46,2973,0.55,2,False,False,False
104,40.71332,-73.94176999999999,4.624972813284271,3,335,2984,3.02,1,False,False,False
105,40.66941,-73.98109000000001,5.3981627015177525,30,88,2776,0.79,1,False,True,False
106,40.68373,-73.92376999999999,4.836281906951478,90,162,3014,1.46,2,False,False,False
107,40.71459,-73.94844,4.394449154672439,30,29,2616,0.4,1,False,False,False
108,40.8092,-73.94421,4.61512051684126,2,170,3009,1.61,1,False,False,False
109,40.68157,-73.98989,5.303304908059076,30,19,2181,0.2,1,False,False,False
110,40.75527,-73.99291,4.0943445622221,2,334,3002,3.0,2,False,False,False
111,40.68698,-73.96571999999999,4.836281906951478,2,19,2988,0.2,6,False,False,False
112,40.7288,-73.98192,4.948759890378168,7,12,2450,0.13,1,False,False,False
113,40.66853,-73.98912,4.795790545596741,30,467,2834,4.22,2,False,False,False
114,40.7254,-73.98156999999999,5.860786223465865,2,7,2326,0.06,4,False,False,False
115,40.742940000000004,-73.98009,5.298317366548036,5,38,1710,0.38,1,False,False,False
116,40.71942,-73.95748,5.786897381366708,3,324,3009,3.01,1,False,False,False
117,40.77823,-73.97636999999999,5.4638318050256105,6,27,2952,0.27,1,False,False,False
